x,y,z,xc,yc
4.018389,2.857357,3.482983,0.698585,0.363156
7.555811,4.106811,-0.991917,0.941867,0.319076
4.018389,2.483695,3.440898,0.698585,0.387449
1.776217,-2.683946,5.213116,0.584177,0.624107
1.222237,-1.182444,5.952465,0.554318,0.566077
0.731493,-2.536683,5.815343,0.534154,0.62064
4.135272,-6.996638,2.67197,0.711218,0.819975
3.311811,-7.660815,3.382963,0.66463,0.852871
1.313701,-8.639995,4.702456,0.5591,0.902632
5.940524,-6.223629,-0.631468,0.871706,0.791941
1.998311,2.743838,3.74403,0.591234,0.373894
0.901447,1.236992,5.754256,0.544341,0.451584
2.308977,-8.974196,3.60907,0.624563,0.924192
6.954154,-2.439843,-0.131163,0.88577,0.615029
1.098819,-4.458788,5.120727,0.551338,0.695278
1.181124,-4.579996,5.189564,0.55198,0.704632
1.255818,-4.787901,5.237051,0.552888,0.715808
1.325085,-5.106507,5.20501,0.555168,0.730794
1.546388,-5.819392,4.757893,0.569944,0.767035
1.953754,-4.183892,4.431713,0.593203,0.685676
2.117802,-4.137093,4.555096,0.599262,0.681069
2.285339,-4.051196,4.582438,0.6076,0.677703
2.85016,-3.66572,4.484994,0.631938,0.6635
5.278538,-2.238942,2.861224,0.752033,0.601315
0.946709,1.907628,5.196779,0.547226,0.420395
1.314173,3.104912,4.231404,0.563544,0.359828
1.78,2.86,3.881555,0.583841,0.368714
1.84511,-4.09888,4.247264,0.586614,0.692366
5.436187,-4.030482,2.109852,0.771915,0.683578
0.766444,3.182131,4.861453,0.531597,0.352483
1.938616,-6.61441,4.521085,0.588371,0.804441
0.516573,1.583572,6.148363,0.520797,0.442565
1.246815,0.230297,5.681036,0.567985,0.493479
0.997827,-6.930921,4.979576,0.543283,0.819255
3.288807,-5.382514,3.795752,0.655317,0.745515
2.311631,-1.566237,4.590085,0.621009,0.574018
2.68025,-6.111567,4.096152,0.62556,0.780312
3.832928,-1.537326,4.137731,0.680198,0.570719
2.96186,-2.274215,4.440943,0.642764,0.604338
4.386901,-2.683286,3.643886,0.704663,0.62153
1.217295,-7.834465,4.969286,0.552012,0.862592
